Open,High,Low,Close,Volume,Open Interest,Symbol
63.99,63.99,63.99,63.99,0.0,0.0,BRN-2038Z
64.41,64.41,64.41,64.41,0.0,0.0,BRN-2038Z
63.94,63.94,63.94,63.94,0.0,0.0,BRN-2039F
64.36,64.36,64.36,64.36,0.0,0.0,BRN-2039F
63.89,63.89,63.89,63.89,0.0,0.0,BRN-2039G
64.31,64.31,64.31,64.31,0.0,0.0,BRN-2039G
63.84,63.84,63.84,63.84,0.0,0.0,BRN-2039H
64.26,64.26,64.26,64.26,0.0,0.0,BRN-2039H
6603.0,6603.0,6552.0,6552.0,1.0,171.0,CC-2026U
6501.0,6501.0,6254.0,6254.0,2.0,0.0,CC-2026U
6743.0,6819.0,6407.0,6571.0,21985.0,79074.0,CC-2026Z
6520.0,6564.0,6142.0,6273.0,20458.0,0.0,CC-2026Z
6862.0,6950.0,6537.0,6701.0,11763.0,46041.0,CC-2027H
6626.0,6686.0,6270.0,6382.0,10929.0,0.0,CC-2027H
6919.0,6987.0,6591.0,6750.0,4715.0,26100.0,CC-2027K
6674.0,6732.0,6319.0,6420.0,3433.0,0.0,CC-2027K
6918.0,6974.0,6584.0,6743.0,2154.0,12876.0,CC-2027N
6665.0,6727.0,6323.0,6414.0,1851.0,0.0,CC-2027N
6827.0,6885.0,6509.0,6664.0,1118.0,7625.0,CC-2027U
6609.0,6657.0,6262.0,6347.0,1017.0,0.0,CC-2027U
6679.0,6750.0,6426.0,6535.0,945.0,4709.0,CC-2027Z
6446.0,6540.0,6141.0,6232.0,918.0,0.0,CC-2027Z
6600.0,6615.0,6336.0,6436.0,393.0,1529.0,CC-2028H
6335.0,6335.0,6059.0,6148.0,203.0,0.0,CC-2028H
6520.0,6520.0,6358.0,6358.0,4.0,172.0,CC-2028K
6088.0,6088.0,6083.0,6083.0,3.0,0.0,CC-2028K
6301.0,6301.0,6301.0,6301.0,0.0,1.0,CC-2028N
6030.0,6030.0,6030.0,6030.0,0.0,0.0,CC-2028N
86.31,90.97,86.13,90.22,331106.0,255873.0,CL-2026V
90.65,92.29,88.97,91.01,259459.0,0.0,CL-2026V
84.46,88.34,84.24,87.75,173234.0,184940.0,CL-2026X
87.98,89.51,86.63,88.28,137910.0,0.0,CL-2026X
82.32,85.41,82.08,84.97,140036.0,200862.0,CL-2026Z
85.1,86.35,83.98,85.25,136337.0,0.0,CL-2026Z
80.26,82.71,80.06,82.4,66948.0,118245.0,CL-2027F
82.44,83.48,81.5,82.5,65176.0,0.0,CL-2027F
78.45,80.38,78.26,80.16,41648.0,55899.0,CL-2027G
80.13,81.0,79.34,80.1,38807.0,0.0,CL-2027G
76.95,78.51,76.76,78.34,47478.0,64889.0,CL-2027H
78.3,79.0,77.57,78.13,45232.0,0.0,CL-2027H
75.83,77.07,75.62,76.89,24492.0,48980.0,CL-2027J
76.98,77.4,76.18,76.56,20389.0,0.0,CL-2027J
74.87,75.94,74.68,75.73,17966.0,55563.0,CL-2027K
75.72,76.13,75.03,75.33,14752.0,0.0,CL-2027K
74.04,75.06,73.86,74.82,53676.0,135550.0,CL-2027M
74.92,75.25,74.12,74.36,50217.0,0.0,CL-2027M
73.33,74.17,73.31,74.06,6700.0,42643.0,CL-2027N
74.3,74.34,73.46,73.55,5487.0,0.0,CL-2027N
72.9,73.51,72.71,73.39,4443.0,30650.0,CL-2027Q
73.51,73.73,72.78,72.88,2916.0,0.0,CL-2027Q
72.27,73.03,71.96,72.84,12292.0,50009.0,CL-2027U
72.97,73.15,72.16,72.32,10951.0,0.0,CL-2027U
72.17,72.61,71.72,72.35,2490.0,31615.0,CL-2027V
71.87,71.88,71.82,71.83,1475.0,0.0,CL-2027V
71.7,72.21,71.34,71.94,1290.0,37660.0,CL-2027X
71.18,71.42,71.18,71.42,1369.0,0.0,CL-2027X
71.11,71.86,70.98,71.57,40872.0,162852.0,CL-2027Z
71.63,71.88,70.84,71.06,40985.0,0.0,CL-2027Z
71.28,71.48,70.65,71.19,522.0,28274.0,CL-2028F
70.74,70.74,70.54,70.7,1459.0,0.0,CL-2028F
70.84,71.11,70.33,70.83,1121.0,16917.0,CL-2028G
70.39,70.39,70.36,70.36,936.0,0.0,CL-2028G
70.52,70.8,70.04,70.5,1242.0,26262.0,CL-2028H
70.06,70.06,70.06,70.06,1751.0,0.0,CL-2028H
70.2,70.2,70.2,70.2,158.0,23681.0,CL-2028J
69.79,69.79,69.79,69.79,252.0,0.0,CL-2028J
69.95,69.95,69.95,69.95,391.0,10986.0,CL-2028K
69.56,69.56,69.56,69.56,132.0,0.0,CL-2028K
69.5,70.02,69.33,69.72,7578.0,54940.0,CL-2028M
69.77,70.0,69.19,69.35,6047.0,0.0,CL-2028M
69.47,69.47,69.47,69.47,13.0,11630.0,CL-2028N
69.12,69.12,69.12,69.12,46.0,0.0,CL-2028N
69.22,69.22,69.22,69.22,8.0,8681.0,CL-2028Q
68.9,68.9,68.9,68.9,22.0,0.0,CL-2028Q
68.99,68.99,68.99,68.99,272.0,18500.0,CL-2028U
68.7,68.7,68.7,68.7,187.0,0.0,CL-2028U
68.78,68.78,68.78,68.78,18.0,6019.0,CL-2028V
68.5,68.5,68.5,68.5,74.0,0.0,CL-2028V
68.6,68.6,68.6,68.6,37.0,8489.0,CL-2028X
68.35,68.35,68.35,68.35,98.0,0.0,CL-2028X
68.23,68.7,68.12,68.42,7307.0,87073.0,CL-2028Z
68.53,68.69,67.99,68.21,9658.0,0.0,CL-2028Z
68.2,68.2,68.2,68.2,28.0,5974.0,CL-2029F
68.02,68.02,68.02,68.02,67.0,0.0,CL-2029F
67.98,67.98,67.98,67.98,8.0,4671.0,CL-2029G
67.82,67.82,67.82,67.82,26.0,0.0,CL-2029G
67.79,67.79,67.79,67.79,18.0,10240.0,CL-2029H
67.64,67.64,67.64,67.64,30.0,0.0,CL-2029H
67.61,67.61,67.61,67.61,8.0,2935.0,CL-2029J
67.48,67.48,67.48,67.48,13.0,0.0,CL-2029J
67.44,67.44,67.44,67.44,5.0,3506.0,CL-2029K
67.33,67.33,67.33,67.33,5.0,0.0,CL-2029K
67.24,67.3,67.2,67.28,649.0,19571.0,CL-2029M
67.43,67.43,67.15,67.18,433.0,0.0,CL-2029M
67.08,67.08,67.08,67.08,3.0,4615.0,CL-2029N
67.01,67.01,67.01,67.01,5.0,0.0,CL-2029N
66.89,66.89,66.89,66.89,0.0,351.0,CL-2029Q
66.85,66.85,66.85,66.85,3.0,0.0,CL-2029Q
66.71,66.71,66.71,66.71,1.0,2478.0,CL-2029U
66.69,66.69,66.69,66.69,3.0,0.0,CL-2029U
66.55,66.55,66.55,66.55,0.0,269.0,CL-2029V
66.55,66.55,66.55,66.55,0.0,0.0,CL-2029V
66.4,66.4,66.4,66.4,0.0,388.0,CL-2029X
66.41,66.41,66.41,66.41,0.0,0.0,CL-2029X
66.07,66.5,66.05,66.25,1390.0,48300.0,CL-2029Z
66.37,66.48,66.0,66.26,2463.0,0.0,CL-2029Z
66.05,66.05,66.05,66.05,0.0,297.0,CL-2030F
66.07,66.07,66.07,66.07,0.0,0.0,CL-2030F
65.84,65.84,65.84,65.84,0.0,60.0,CL-2030G
65.89,65.89,65.89,65.89,0.0,0.0,CL-2030G
65.68,65.68,65.68,65.68,0.0,250.0,CL-2030H
65.75,65.75,65.75,65.75,0.0,0.0,CL-2030H
65.54,65.54,65.54,65.54,0.0,60.0,CL-2030J
65.62,65.62,65.62,65.62,0.0,0.0,CL-2030J
65.4,65.4,65.4,65.4,0.0,285.0,CL-2030K
65.5,65.5,65.5,65.5,0.0,0.0,CL-2030K
65.22,65.22,65.22,65.22,0.0,5185.0,CL-2030M
65.34,65.34,65.34,65.34,0.0,0.0,CL-2030M
65.02,65.02,65.02,65.02,0.0,285.0,CL-2030N
65.15,65.15,65.15,65.15,0.0,0.0,CL-2030N
64.86,64.86,64.86,64.86,0.0,60.0,CL-2030Q
65.01,65.01,65.01,65.01,0.0,0.0,CL-2030Q
64.7,64.7,64.7,64.7,0.0,170.0,CL-2030U
64.86,64.86,64.86,64.86,0.0,0.0,CL-2030U
64.55,64.55,64.55,64.55,0.0,60.0,CL-2030V
64.72,64.72,64.72,64.72,0.0,0.0,CL-2030V
64.43,64.43,64.43,64.43,0.0,145.0,CL-2030X
64.62,64.62,64.62,64.62,0.0,0.0,CL-2030X
64.23,64.5,64.12,64.26,245.0,17267.0,CL-2030Z
64.39,64.46,64.27,64.46,166.0,0.0,CL-2030Z
64.04,64.04,64.04,64.04,0.0,145.0,CL-2031F
64.25,64.25,64.25,64.25,0.0,0.0,CL-2031F
63.86,63.86,63.86,63.86,0.0,0.0,CL-2031G
64.08,64.08,64.08,64.08,0.0,0.0,CL-2031G
63.72,63.72,63.72,63.72,0.0,0.0,CL-2031H
63.96,63.96,63.96,63.96,0.0,0.0,CL-2031H
63.59,63.59,63.59,63.59,0.0,0.0,CL-2031J
63.84,63.84,63.84,63.84,0.0,0.0,CL-2031J
